dataset,shots,runs,fg_iou_mean,fg_iou_std,dice_mean,dice_std,eval_miou_mean,eval_miou_std,eval_ari_mean,eval_ari_std,dice_retained_vs_full,best_seed_by_dice,worst_seed_by_dice
GlaS,1,5,0.5909248253393868,0.16628270207378862,0.716039807833106,0.160097399623709,0.6297123279792615,0.1056894010651236,0.3589338320911071,0.138590435094202,0.8013887845919504,4,2
GlaS,2,5,0.7201002661443494,0.032445956191600615,0.8302385193362508,0.024333139947748585,0.6995818610559007,0.04586453339548879,0.46007404705772853,0.072665771933652,0.9291995090968133,4,3
GlaS,4,5,0.7303486976706202,0.026271290185497606,0.8371292148509313,0.0198176510450603,0.7013800410065677,0.05404672108030044,0.4683253622382337,0.0771354820593084,0.9369115469515439,2,3
GlaS,8,3,0.7374349690209228,0.041633464936495695,0.8410389327187882,0.03152504925044943,0.7342829820396665,0.024048889297574597,0.5197521032382569,0.03880841567289591,0.9412872869815585,1,0
GlaS,16,3,0.7864274264093652,0.00464007200378086,0.8762681949374569,0.003246861226501518,0.7731736731954824,0.0006291376325324418,0.5848551369773501,0.001619602589168193,0.9807157312141875,2,1
GlaS,32,1,0.7895094355730876,0.0,0.8772458100850329,0.0,0.7685115833480508,0.0,0.5822059713055723,0.0,0.9818098740346621,0,0
GlaS,64,1,0.8226344741162359,0.0,0.8985203602063755,0.0,0.8055599268598196,0.0,0.6468581765355431,0.0,1.0056202623370638,0,0
GlaS,85,1,0.8143010453017147,0.0,0.8934986633206974,0.0,0.7977140266972184,0.0,0.6328740696460676,0.0,1.0,0,0
MoNuSeg,1,5,0.45336427855465017,0.03405702682852381,0.6196530617578584,0.03326920938637442,0.6445145508382754,0.017652319876286886,0.4261527388120633,0.023939618697350798,0.7614078534321141,2,3
MoNuSeg,2,5,0.5444402914907847,0.032722827449534454,0.7034502317566872,0.0278314753037338,0.6869470469787144,0.036463983833324116,0.47946525001440293,0.07385978312251298,0.8643748639581217,2,4
MoNuSeg,4,5,0.6010662782252755,0.024748262530618632,0.7495380878324138,0.01979173788860608,0.7365886986928634,0.013488164550845977,0.5728073558306517,0.020200661283137866,0.9210059979419638,1,2
MoNuSeg,8,3,0.6577907035269851,0.008591133044232778,0.792960183273872,0.0061982365267652,0.7700668617247861,0.009292294193054202,0.6227113228687606,0.02034672110496872,0.9743615391666186,2,0
MoNuSeg,12,3,0.6745989172838418,0.0028284531827837203,0.8049845132431854,0.0019093977438319632,0.7844249580508237,0.003269864813944642,0.6505248512889346,0.0075094760394478375,0.9891366122452894,1,0
MoNuSeg,16,1,0.6588652002747375,0.0,0.7937977499938715,0.0,0.7668109824677304,0.0,0.6118133985595887,0.0,0.9753907116467351,0,0
MoNuSeg,24,1,0.6940429868710252,0.0,0.8188871993723533,0.0,0.7958234664850021,0.0,0.6672790967264184,0.0,1.0062197432033135,0,0
MoNuSeg,30,1,0.6868057632502361,0.0,0.8138254142831817,0.0,0.7887195087450419,0.0,0.6524338902297125,0.0,1.0,0,0
