dataset_label,dataset_id,num_samples,sam2_miou,sam2_ari,sam3_miou,sam3_ari,delta_miou,delta_ari,leader_model,takeaway
RWTD,aviadcohz/RWTD,227,0.8277752305427438,0.7013113869746274,0.8397479737334304,0.7258115046755812,-0.01197274319068653,-0.02450011770095384,sam3,RWTD flip-avg remains the one place where SAM3 still holds a small edge.
CAID,architexture:caid,3104,0.6620402828938353,0.46051715742243726,0.6588279313332459,0.45066962354106316,0.0032123515605894104,0.009847533881374104,sam2,"CAID flip-avg is close, but SAM2 still edges ahead."
STLD,architexture:stld,200,0.8064081628642077,0.7088955757534903,0.7533947361386859,0.6194081190647452,0.053013426725521784,0.08948745668874503,sam2,SAM2 keeps a clear flip-avg lead on STLD.
